stem;ind3sg;ind3pl;prescont3sg;prescont3pl
knacker;knackers;knacker;is knackering;are knackering
try;tries;try;is trying;are trying
impact;impacts;impact;is impacting;are impacting
categorize;categorizes;categorize;is categorizing;are categorizing
entrain;entrains;entrain;is entraining;are entraining
core;cores;core;is coring;are coring
vermiculate;vermiculates;vermiculate;is vermiculating;are vermiculating
effectuate;effectuates;effectuate;is effectuating;are effectuating
storm;storms;storm;is storming;are storming
unfrock;unfrocks;unfrock;is unfrocking;are unfrocking
pawn;pawns;pawn;is pawning;are pawning
crimson;crimsons;crimson;is crimsoning;are crimsoning
crosshatch;crosshatches;crosshatch;is crosshatching;are crosshatching
sideswipe;sideswipes;sideswipe;is sideswiping;are sideswiping
enunciate;enunciates;enunciate;is enunciating;are enunciating
explain;explains;explain;is explaining;are explaining
decree;decrees;decree;is decreeing;are decreeing
judder;judders;judder;is juddering;are juddering
environ;environs;environ;is environing;are environing
gat;gats;gat;is gating;are gating
pry;pries;pry;is prying;are prying
paw;paws;paw;is pawing;are pawing
upswing;upswings;upswing;is upswinging;are upswinging
sorrow;sorrows;sorrow;is sorrowing;are sorrowing
reshape;reshapes;reshape;is reshaping;are reshaping
spreadeagle;spreadeagles;spreadeagle;is spreadeagling;are spreadeagling
debilitate;debilitates;debilitate;is debilitating;are debilitating
murmur;murmurs;murmur;is murmuring;are murmuring
redevelop;redevelops;redevelop;is redeveloping;are redeveloping
pluralize;pluralizes;pluralize;is pluralizing;are pluralizing
waive;waives;waive;is waiving;are waiving
ingulf;ingulfs;ingulf;is ingulfing;are ingulfing
superinduce;superinduces;superinduce;is superinducing;are superinducing
scollop;scollops;scollop;is scolloping;are scolloping
purl;purls;purl;is purling;are purling
contradict;contradicts;contradict;is contradicting;are contradicting
decoct;decocts;decoct;is decocting;are decocting
approach;approaches;approach;is approaching;are approaching
shore;shores;shore;is shoring;are shoring
flounce;flounces;flounce;is flouncing;are flouncing
highlight;highlights;highlight;is highlighting;are highlighting
captivate;captivates;captivate;is captivating;are captivating
skeletonize;skeletonizes;skeletonize;is skeletonizing;are skeletonizing
structure;structures;structure;is structuring;are structuring
co-edit;co-edits;co-edit;is co-editing;are co-editing
rid;rids;rid;is ridding;are ridding
bulldoze;bulldozes;bulldoze;is bulldozing;are bulldozing
ridicule;ridicules;ridicule;is ridiculing;are ridiculing
waterski;waterskis;waterski;is waterskiing;are waterskiing
slope;slopes;slope;is sloping;are sloping
liquidize;liquidizes;liquidize;is liquidizing;are liquidizing
undercharge;undercharges;undercharge;is undercharging;are undercharging
ignite;ignites;ignite;is igniting;are igniting
repast;repasts;repast;is repasting;are repasting
volcanize;volcanizes;volcanize;is volcanizing;are volcanizing
troupe;troupes;troupe;is trouping;are trouping
stoke;stokes;stoke;is stoking;are stoking
forjudge;forjudges;forjudge;is forjudging;are forjudging
blab;blabs;blab;is blabbing;are blabbing
indwell;indwells;indwell;is indwelling;are indwelling
house-train;house-trains;house-train;is house-training;are house-training
catholicize;catholicizes;catholicize;is catholicizing;are catholicizing
operatize;operatizes;operatize;is operatizing;are operatizing
fat;fats;fat;is fatting;are fatting
Africanize;Africanizes;Africanize;is Africanizing;are Africanizing
invest;invests;invest;is investing;are investing
repute;reputes;repute;is reputing;are reputing
transfuse;transfuses;transfuse;is transfusing;are transfusing
belittle;belittles;belittle;is belittling;are belittling
thermalize;thermalizes;thermalize;is thermalizing;are thermalizing
hamper;hampers;hamper;is hampering;are hampering
nictitate;nictitates;nictitate;is nictitating;are nictitating
crochet;crochets;crochet;is crocheting;are crocheting
roughcast;roughcasts;roughcast;is roughcasting;are roughcasting
discharge;discharges;discharge;is discharging;are discharging
gradate;gradates;gradate;is gradating;are gradating
oyster;oysters;oyster;is oystering;are oystering
bunker;bunkers;bunker;is bunkering;are bunkering
equipoise;equipoises;equipoise;is equipoising;are equipoising
analyze;analyzes;analyze;is analyzing;are analyzing
fletch;fletches;fletch;is fletching;are fletching
breeze;breezes;breeze;is breezing;are breezing
reconnoitre;reconnoitres;reconnoitre;is reconnoitring;are reconnoitring
berry;berries;berry;is berrying;are berrying
knot;knots;knot;is knotting;are knotting
wood;woods;wood;is wooding;are wooding
configure;configures;configure;is configuring;are configuring
court;courts;court;is courting;are courting
ruff;ruffs;ruff;is ruffing;are ruffing
birddog;birddogs;birddog;is birddogging;are birddogging
bow;bows;bow;is bowing;are bowing
tame;tames;tame;is taming;are taming
outgrow;outgrows;outgrow;is outgrowing;are outgrowing
sway;sways;sway;is swaying;are swaying
reexport;reexports;reexport;is reexporting;are reexporting
breed;breeds;breed;is breeding;are breeding
minute;minutes;minute;is minuting;are minuting
crystallize;crystallizes;crystallize;is crystallizing;are crystallizing
slump;slumps;slump;is slumping;are slumping
misconduct;misconducts;misconduct;is misconducting;are misconducting
relieve;relieves;relieve;is relieving;are relieving
abandon;abandons;abandon;is abandoning;are abandoning
Photostat;photostats;photostat;is photostatting;are photostatting
ragout;ragouts;ragout;is ragouting;are ragouting
imagine;imagines;imagine;is imagining;are imagining
supply;supplies;supply;is supplying;are supplying
instruct;instructs;instruct;is instructing;are instructing
replenish;replenishes;replenish;is replenishing;are replenishing
entomologize;entomologizes;entomologize;is entomologizing;are entomologizing
depart;departs;depart;is departing;are departing
egg;eggs;egg;is egging;are egging
vivify;vivifies;vivify;is vivifying;are vivifying
scrub;scrubs;scrub;is scrubbing;are scrubbing
replevin;replevins;replevin;is replevining;are replevining
counterproposal;counterproposals;counterproposal;is counterproposaling;are counterproposaling
jelly;jellies;jelly;is jellying;are jellying
foal;foals;foal;is foaling;are foaling
earmark;earmarks;earmark;is earmarking;are earmarking
coexist;coexists;coexist;is coexisting;are coexisting
backwash;backwashes;backwash;is backwashing;are backwashing
attest;attests;attest;is attesting;are attesting
gasify;gasifies;gasify;is gasifying;are gasifying
foliate;foliates;foliate;is foliating;are foliating
play;plays;play;is playing;are playing
rocket;rockets;rocket;is rocketing;are rocketing
shatter;shatters;shatter;is shattering;are shattering
tenon;tenons;tenon;is tenoning;are tenoning
demise;demises;demise;is demising;are demising
wrapped;wrappeds;wrapped;is wrappeding;are wrappeding
dematerialize;dematerializes;dematerialize;is dematerializing;are dematerializing
larn;larns;larn;is larning;are larning
photolithograph;photolithographs;photolithograph;is photolithographing;are photolithographing
thwart;thwarts;thwart;is thwarting;are thwarting
toil;toils;toil;is toiling;are toiling
decorticate;decorticates;decorticate;is decorticating;are decorticating
reduce;reduces;reduce;is reducing;are reducing
sledgehammer;sledgehammers;sledgehammer;is sledgehammering;are sledgehammering
gully;gullies;gully;is gullying;are gullying
enrage;enrages;enrage;is enraging;are enraging
annul;annuls;annul;is annulling;are annulling
Italianize;Italianizes;Italianize;is Italianizing;are Italianizing
lyophilize;lyophilizes;lyophilize;is lyophilizing;are lyophilizing
open;opens;open;is opening;are opening
hookup;hookups;hookup;is hookuping;are hookuping
fight;fights;fight;is fighting;are fighting
yaup;yaups;yaup;is yauping;are yauping
export;exports;export;is exporting;are exporting
confound;confounds;confound;is confounding;are confounding
bang;bangs;bang;is banging;are banging
decoke;decokes;decoke;is decoking;are decoking
harrumph;harrumphs;harrumph;is harrumphing;are harrumphing
intersect;intersects;intersect;is intersecting;are intersecting
achromatize;achromatizes;achromatize;is achromatizing;are achromatizing
twirl;twirls;twirl;is twirling;are twirling
fluidize;fluidizes;fluidize;is fluidizing;are fluidizing
duck;ducks;duck;is ducking;are ducking
bead;beads;bead;is beading;are beading
spindle;spindles;spindle;is spindling;are spindling
Aryanize;Aryanizes;Aryanize;is Aryanizing;are Aryanizing
possess;possesses;possess;is possessing;are possessing
eyeball;eyeballs;eyeball;is eyeballing;are eyeballing
parachute;parachutes;parachute;is parachuting;are parachuting
fraternize;fraternizes;fraternize;is fraternizing;are fraternizing
reave;reaves;reave;is reaving;are reaving
chasten;chastens;chasten;is chastening;are chastening
rough-house;rough-houses;rough-house;is rough-housing;are rough-housing
misread;misreads;misread;is misreading;are misreading
sling;slings;sling;is slinging;are slinging
snake;snakes;snake;is snaking;are snaking
entitle;entitles;entitle;is entitling;are entitling
reexamine;reexamines;reexamine;is reexamining;are reexamining
flatter;flats;flatter;is flatting;are flatting
unfit;unfits;unfit;is unfitting;are unfitting
skirl;skirls;skirl;is skirling;are skirling
outpace;outpaces;outpace;is outpacing;are outpacing
decrease;decreases;decrease;is decreasing;are decreasing
dander;danders;dander;is dandering;are dandering
plasmolyze;plasmolyzes;plasmolyze;is plasmolyzing;are plasmolyzing
sleep;sleeps;sleep;is sleeping;are sleeping
return;returns;return;is returning;are returning
teethe;teethes;teethe;is teething;are teething
